timestamp,market_id,race_name,track,date,leg,selection,odds,stake,result,profit,balance
2025-08-20T14:15:01.422707+01:00,1.246837976,6f Nov Stks,Carlisle 20th Aug,2025-08-20 13:05:00+00:00,0,Gwen John,1.48,8.8,L,-8.8,211.2
2025-08-20T14:34:31.235711+01:00,1.246837571,7f Grp 3,York 20th Aug,2025-08-20 13:25:00+00:00,1,Distant Storm,2.16,8.45,L,-8.45,202.75
2025-08-20T15:08:00.990729+01:00,1.246837579,1m4f Grp 2,York 20th Aug,2025-08-20 14:00:00+00:00,2,Lambourn,1.88,23.53,L,-23.53,179.22
2025-08-20T15:22:30.959790+01:00,1.246837986,1m3f Hcap,Carlisle 20th Aug,2025-08-20 14:15:00+00:00,3,Sidney Stratton,2.98,38.83,L,-38.83,140.39
2025-08-20T15:45:01.477941+01:00,1.246837587,1m2f Grp 1,York 20th Aug,2025-08-20 14:35:00+00:00,4,Ombudsman,2.88,64.07,W,120.45159999999998,260.84159999999997
2025-08-20T15:55:30.811236+01:00,1.246837991,7f Hcap,Carlisle 20th Aug,2025-08-20 14:50:00+00:00,0,Vince Le Prince,4.1,10.44,L,-10.44,250.40159999999997
2025-08-20T16:20:31.538728+01:00,1.246837594,2m Hcap,York 20th Aug,2025-08-20 15:10:00+00:00,1,Santorini Star,4.9,10.02,W,39.078,289.4796
2025-08-20T16:29:00.669480+01:00,1.246837996,7f Nov Stks,Carlisle 20th Aug,2025-08-20 15:25:00+00:00,0,Patricia R,1.87,11.58,W,10.074600000000002,299.5542
2025-08-20T16:58:31.075262+01:00,1.246837901,2m Hcap Chs,Worcester 20th Aug,2025-08-20 15:50:00+00:00,0,Rocks Up Late,3.75,11.99,W,32.972500000000004,332.5267
2025-08-20T17:03:00.981522+01:00,1.246838001,7f Mdn Hcap,Carlisle 20th Aug,2025-08-20 15:55:00+00:00,0,Operation Gimcrack,3.45,11.99,L,-11.99,287.56419999999997
2025-08-20T17:13:31.201222+01:00,1.246818635,2m1f Mdn Hrd,Sligo 20th Aug,2025-08-20 16:05:00+00:00,1,Whispering Hopes,2.12,11.51,L,-11.51,276.0542
2025-08-20T17:22:00.990632+01:00,1.246837936,7f Nursery,Kempton 20th Aug,2025-08-20 16:15:00+00:00,2,Project Incheon,3.35,17.27,L,-17.27,258.7842
2025-08-20T17:30:31.249431+01:00,1.246837609,6f Nursery,York 20th Aug,2025-08-20 16:20:00+00:00,2,Utmost Respect,5.7,17.27,L,-17.27,258.7842
2025-08-20T17:35:01.400538+01:00,1.246837906,2m7f Hcap Chs,Worcester 20th Aug,2025-08-20 16:25:00+00:00,3,My Gift To You,4.1,25.91,L,-25.91,232.8742
2025-08-20T17:46:01.274040+01:00,1.246818640,2m1f Hcap Hrd,Sligo 20th Aug,2025-08-20 16:38:00+00:00,4,Tea It Is,4.3,38.87,L,-38.87,194.0042
