timestamp,market_id,race_name,track,date,leg,selection,odds,stake,result,profit,balance
2025-10-02T13:42:30.969010+01:00,1.248478126,1m Nursery,Bellewstown 2nd Oct,2025-10-02 12:35:00+00:00,1,Synners Kid,3.25,8.8,W,19.8,239.8
2025-10-02T14:00:30.712855+01:00,1.248476561,1m Mdn Stks,Nottingham 2nd Oct,2025-10-02 12:55:00+00:00,1,Lady Roisia,1.87,9.6,W,8.352,248.15200000000002
2025-10-02T14:09:31.221070+01:00,1.248478131,1m Mdn,Bellewstown 2nd Oct,2025-10-02 13:05:00+00:00,1,Tswalu,3.2,9.93,W,21.846,269.998
2025-10-02T14:23:30.920285+01:00,1.248477780,2m4f Hrd,Clonmel 2nd Oct,2025-10-02 13:15:00+00:00,1,Spring Meadow,3.35,10.8,L,-10.8,259.198
2025-10-02T14:29:00.614732+01:00,1.248476567,5f Mdn Stks,Nottingham 2nd Oct,2025-10-02 13:25:00+00:00,2,Akirra,2.78,17.82,L,-17.82,241.378
2025-10-02T14:42:00.930595+01:00,1.248478136,1m Hcap,Bellewstown 2nd Oct,2025-10-02 13:35:00+00:00,3,Edergoles Angel,4.3,26.73,W,88.209,329.587
2025-10-02T14:58:30.964481+01:00,1.248477785,2m4f Mdn Hrd,Clonmel 2nd Oct,2025-10-02 13:50:00+00:00,1,Court Canyon,1.7,13.19,W,9.232999999999999,338.82
2025-10-02T15:05:00.655253+01:00,1.248476573,6f Nursery,Nottingham 2nd Oct,2025-10-02 14:00:00+00:00,1,Kesta,4.3,13.56,W,44.748,383.568
2025-10-02T15:17:00.807724+01:00,1.248478141,1m Hcap,Bellewstown 2nd Oct,2025-10-02 14:10:00+00:00,1,Shavasi,2.46,15.35,W,22.410999999999998,405.979
2025-10-02T15:33:00.934248+01:00,1.248477790,2m4f Hcap Hrd,Clonmel 2nd Oct,2025-10-02 14:25:00+00:00,1,Flidais,6.6,16.24,L,-16.24,389.739
2025-10-02T15:48:31.023846+01:00,1.248476398,2m Hcap Hrd,Southwell 2nd Oct,2025-10-02 14:40:00+00:00,2,Nowmelad,2.48,26.8,L,-26.8,362.93899999999996
2025-10-02T15:57:30.838345+01:00,1.248476355,6f Cond Stks,Salisbury 2nd Oct,2025-10-02 14:50:00+00:00,3,Sword Maker,2.32,44.22,W,58.37039999999999,421.3094
