venue,start_time,runner_name,odds,result
2025-06-28 20:58:30,Doncaster,1m Hcap,2025-06-28 21:00:00,81862449,Obito,4.0,PENDING
2025-06-29 13:13:31,Curragh,1m1f Hcap,2025-06-29 13:15:00,4670158,Mississippi River,2.7,PENDING
2025-06-29 13:23:03,Curragh,1m1f Hcap,2025-06-29 13:15:00,4670158,Mississippi River,2.7,LOST
2025-06-29 13:28:31,Uttoxeter,2m7f Hcap Hrd,2025-06-29 13:30:00,49471962,Roger Pol,4.7,PENDING
2025-06-29 13:42:02,Uttoxeter,2m7f Hcap Hrd,2025-06-29 13:30:00,49471962,Roger Pol,4.7,LOST
2025-06-29 13:48:31,Curragh,1m Hcap,2025-06-29 13:50:00,68799705,Retracement,6.4,PENDING
2025-06-29 13:57:32,Curragh,1m Hcap,2025-06-29 13:50:00,68799705,Retracement,6.4,LOST
2025-06-29 13:58:31,Uttoxeter,3m2f Hcap Chs,2025-06-29 14:00:00,54379222,Coco Mademoiselle,4.5,PENDING
2025-06-29 14:16:33,Uttoxeter,3m2f Hcap Chs,2025-06-29 14:00:00,54379222,Coco Mademoiselle,4.5,LOST
2025-06-29 14:18:31,Ffos,7f Nov Stks,2025-06-29 14:20:00,84708059,Tenzi,2.16,PENDING
2025-06-29 14:25:32,Ffos,7f Nov Stks,2025-06-29 14:20:00,84708059,Tenzi,2.16,LOST
2025-06-29 14:30:31,Uttoxeter,2m4f Nov Hrd,2025-06-29 14:32:00,68545708,Laravie,1.94,PENDING
2025-06-29 14:42:02,Uttoxeter,2m4f Nov Hrd,2025-06-29 14:32:00,68545708,Laravie,1.94,WON
2025-06-29 14:48:31,Ffos,1m4f Hcap,2025-06-29 14:50:00,73763543,Tralee Girl,4.2,PENDING
2025-06-29 14:56:01,Ffos,1m4f Hcap,2025-06-29 14:50:00,73763543,Tralee Girl,4.2,LOST
2025-06-29 15:03:31,Uttoxeter,2m4f Nov Hcap Chs,2025-06-29 15:05:00,66954304,Gale Mahler,2.76,PENDING
2025-06-29 15:16:02,Uttoxeter,2m4f Nov Hcap Chs,2025-06-29 15:05:00,66954304,Gale Mahler,2.76,LOST
2025-06-29 15:23:30,Ffos,1m2f Mdn Stks,2025-06-29 15:25:00,20961213,Song Brocade,1.84,PENDING
2025-06-29 15:31:01,Ffos,1m2f Mdn Stks,2025-06-29 15:25:00,20961213,Song Brocade,1.84,WON
2025-06-29 15:38:30,Uttoxeter,2m4f Hcap Hrd,2025-06-29 15:40:00,66378868,Don Virginia,3.75,PENDING
2025-06-29 15:50:02,Uttoxeter,2m4f Hcap Hrd,2025-06-29 15:40:00,66378868,Don Virginia,3.75,LOST
2025-06-29 15:58:30,Ffos,1m6f Hcap,2025-06-29 16:00:00,71383674,Synergism,2.74,PENDING
2025-06-29 16:07:31,Ffos,1m6f Hcap,2025-06-29 16:00:00,71383674,Synergism,2.74,LOST
2025-06-29 16:08:30,Curragh,1m4f Grp 1,2025-06-29 16:10:00,12163870,Lambourn,1.69,PENDING
2025-06-29 16:20:02,Curragh,1m4f Grp 1,2025-06-29 16:10:00,12163870,Lambourn,1.69,WON
2025-06-29 16:28:31,Cartmel,2m5f Hcap Chs,2025-06-29 16:30:00,45374766,Cave Court,3.0,PENDING
2025-06-29 16:41:02,Cartmel,2m5f Hcap Chs,2025-06-29 16:30:00,45374766,Cave Court,3.0,LOST
2025-06-29 16:48:30,Curragh,1m4f Hcap,2025-06-29 16:50:00,62302775,Beset,5.1,PENDING
2025-06-29 16:58:31,Curragh,1m4f Hcap,2025-06-29 16:50:00,62302775,Beset,5.1,LOST
2025-06-29 17:03:30,Cartmel,3m1f Hcap Chs,2025-06-29 17:05:00,13296867,Defence Witness,2.52,PENDING
2025-06-29 17:17:31,Cartmel,3m1f Hcap Chs,2025-06-29 17:05:00,13296867,Defence Witness,2.52,LOST
2025-06-29 17:18:30,Curragh,7f Hcap,2025-06-29 17:20:00,6730943,Enchanted Garden,7.6,PENDING
2025-06-29 17:27:01,Curragh,7f Hcap,2025-06-29 17:20:00,6730943,Enchanted Garden,7.6,LOST
2025-06-29 17:38:30,Cartmel,2m1f Hcap Chs,2025-06-29 17:40:00,24462869,Lermoos Legend,3.15,PENDING
2025-06-29 17:48:01,Cartmel,2m1f Hcap Chs,2025-06-29 17:40:00,24462869,Lermoos Legend,3.15,LOST
2025-06-29 17:48:30,Ffos,1m Hcap,2025-06-29 17:50:00,70754957,Cuban Girl,5.0,PENDING
2025-06-29 17:55:30,Ffos,1m Hcap,2025-06-29 17:50:00,70754957,Cuban Girl,5.0,LOST
2025-06-30 13:58:31,Pontefract,1m2f Hcap,2025-06-30 14:00:00,17444078,Unplugged,4.4,PENDING
2025-06-30 14:08:32,Pontefract,1m2f Hcap,2025-06-30 14:00:00,17444078,Unplugged,4.4,WON
2025-06-30 14:13:31,Ffos,1m2f Mdn Stks,2025-06-30 14:15:00,74432747,Fantasy World,2.8,PENDING
2025-06-30 14:27:32,Ffos,1m2f Mdn Stks,2025-06-30 14:15:00,74432747,Fantasy World,2.8,WON
2025-06-30 14:28:31,Pontefract,6f Nov Stks,2025-06-30 14:30:00,83917106,Try Storm Cat,1.97,PENDING
2025-06-30 14:42:32,Pontefract,6f Nov Stks,2025-06-30 14:30:00,83917106,Try Storm Cat,1.97,WON
2025-06-30 14:43:31,Ffos,1m2f Stks,2025-06-30 14:45:00,45720172,Change Of Fortune,2.7,PENDING
2025-06-30 14:51:32,Ffos,1m2f Stks,2025-06-30 14:45:00,45720172,Change Of Fortune,2.7,LOST
2025-06-30 14:58:31,Pontefract,1m Nov Stks,2025-06-30 15:00:00,84790481,Wujjood,2.62,PENDING
2025-06-30 15:10:32,Pontefract,1m Nov Stks,2025-06-30 15:00:00,84790481,Wujjood,2.62,WON
2025-06-30 15:13:31,Ffos,1m4f Hcap,2025-06-30 15:15:00,46298190,Forlio,3.7,PENDING
2025-06-30 15:24:05,Ffos,1m4f Hcap,2025-06-30 15:15:00,46298190,Forlio,3.7,LOST
2025-06-30 15:28:31,Pontefract,1m Hcap,2025-06-30 15:30:00,40865648,I Am Me,2.72,PENDING
2025-06-30 15:39:02,Pontefract,1m Hcap,2025-06-30 15:30:00,40865648,I Am Me,2.72,LOST
2025-06-30 15:43:31,Ffos,1m2f Hcap,2025-06-30 15:45:00,591853,Girls Night Out,4.4,PENDING
2025-06-30 15:54:32,Ffos,1m2f Hcap,2025-06-30 15:45:00,591853,Girls Night Out,4.4,LOST
2025-06-30 15:58:31,Pontefract,5f Hcap,2025-06-30 16:00:00,44148970,Glendown,3.7,PENDING
2025-06-30 16:07:32,Pontefract,5f Hcap,2025-06-30 16:00:00,44148970,Glendown,3.7,LOST
2025-06-30 16:13:31,Ffos,1m Hcap,2025-06-30 16:15:00,76590779,Golden Thorn,7.0,PENDING
2025-06-30 16:22:01,Ffos,1m Hcap,2025-06-30 16:15:00,76590779,Golden Thorn,7.0,LOST
2025-06-30 16:28:31,Pontefract,6f Hcap,2025-06-30 16:30:00,22650595,One Of Our Own,3.4,PENDING
2025-06-30 16:38:02,Pontefract,6f Hcap,2025-06-30 16:30:00,22650595,One Of Our Own,3.4,WON
2025-06-30 16:43:31,Ffos,2m Hcap,2025-06-30 16:45:00,51718810,Queen Of Steel,2.08,PENDING
2025-06-30 16:52:01,Ffos,2m Hcap,2025-06-30 16:45:00,51718810,Queen Of Steel,2.08,WON
2025-06-30 16:58:30,Pontefract,1m Hcap,2025-06-30 17:00:00,6539385,Fire Eyes,4.0,PENDING
2025-06-30 17:09:32,Pontefract,1m Hcap,2025-06-30 17:00:00,6539385,Fire Eyes,4.0,WON
2025-06-30 17:43:30,Windsor,5f Hcap,2025-06-30 17:45:00,27712,Silver Wraith,3.3,PENDING
2025-06-30 17:55:02,Windsor,5f Hcap,2025-06-30 17:45:00,27712,Silver Wraith,3.3,LOST
2025-06-30 17:58:30,Wolverhampton,5f Mdn Stks,2025-06-30 18:00:00,84639371,Rose Of Spain,1.84,PENDING
2025-06-30 18:06:31,Wolverhampton,5f Mdn Stks,2025-06-30 18:00:00,84639371,Rose Of Spain,1.84,LOST
2025-06-30 18:13:30,Windsor,5f Mdn Stks,2025-06-30 18:15:00,27132442,Irish Fighter,2.08,PENDING
