timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-19 13:35:01,Ayr,7f Nursery,2025-09-19 13:28:00,737078,Radiance,3.4,LOST
2025-09-19 13:52:31,Newbury,6f Mdn Stks,2025-09-19 13:45:00,2068000,One And Gone,4.4,LOST
2025-09-19 14:03:00,Ayr,6f Nursery,2025-09-19 13:58:00,84382002,Reciprocated,4.3,LOST
2025-09-19 14:10:30,Newton Abbot,2m5f Nov Chs,2025-09-19 14:03:00,22059095,Art Of Diplomacy,1.43,WON
2025-09-19 14:20:01,Downpatrick,2m2f Mdn Hrd,2025-09-19 14:11:00,72033096,High Court Cave,1.74,WON
2025-09-19 14:29:31,Newbury,7f Cond Stks,2025-09-19 14:20:00,10107100,True Test,3.0,LOST
2025-09-19 14:38:30,Ayr,5f Listed Stks,2025-09-19 14:33:00,83916844,Ipanema Queen,3.35,LOST
2025-09-19 14:49:31,Newton Abbot,2m5f Mdn Hrd,2025-09-19 14:38:00,75608340,A Pai De Nom,2.32,WON
2025-09-19 14:53:00,Downpatrick,2m2f Hcap Hrd,2025-09-19 14:46:00,20225377,Arcland,3.3,WON
2025-09-19 15:02:00,Newbury,7f Nursery,2025-09-19 14:55:00,37486018,French Affair,5.0,LOST
2025-09-19 15:12:01,Ayr,5f Listed Stks,2025-09-19 15:05:00,56816772,Beautiful Diamond,3.65,WON
2025-09-19 15:22:31,Newton Abbot,2m1f Nov Hrd,2025-09-19 15:13:00,76119161,Highland Haven,2.02,LOST
2025-09-19 15:29:00,Downpatrick,2m2f Hcap Hrd,2025-09-19 15:21:00,82057957,Centaq,5.9,LOST
2025-09-19 15:36:00,Newbury,1m Cond Stks,2025-09-19 15:30:00,9203129,Look To The Stars,3.8,WON
2025-09-19 15:51:01,Ayr,6f Hcap,2025-09-19 15:40:00,833234,Eternal Sunshine,4.4,LOST
2025-09-19 15:57:01,Newton Abbot,2m1f Hcap Hrd,2025-09-19 15:48:00,233636,Dickens,2.6,WON
2025-09-19 16:05:31,Downpatrick,2m5f Nov Hrd,2025-09-19 15:56:00,71629535,Sporting Glance,3.9,WON
2025-09-19 16:12:00,Newbury,7f Listed Stks,2025-09-19 16:05:00,82866821,Remmooz,2.86,WON
2025-09-19 16:22:01,Ayr,1m Hcap,2025-09-19 16:15:00,46747253,Penelopes Sister,4.4,WON
2025-09-19 16:29:01,Newton Abbot,2m5f Hcap Hrd,2025-09-19 16:20:00,42220276,Prince Zaltar,3.75,WON
2025-09-19 16:35:01,Downpatrick,2m2f Beg Chs,2025-09-19 16:26:00,68545701,Mickey Cohen,3.65,WON
2025-09-19 16:42:01,Newcastle,1m2f Hcap,2025-09-19 16:33:00,72781652,Duffus Castle,4.4,LOST
2025-09-19 16:50:01,Newbury,1m4f Hcap,2025-09-19 16:40:00,64669405,El Megeeth,3.55,LOST
2025-09-19 16:51:30,Ayr,1m Hcap,2025-09-19 16:45:00,82025208,Dwindling Funds,2.2,LOST
2025-09-19 16:58:00,Dundalk,5f Stks,2025-09-19 16:50:00,85557493,By The Lake,2.78,WON
2025-09-19 17:06:31,Newton Abbot,3m2f Hcap Chs,2025-09-19 16:55:00,38357068,Shantou Lucky,1.5,WON
2025-09-19 17:11:31,Downpatrick,2m7f Hcap Chs,2025-09-19 17:01:00,45859546,Betty Dutton,3.65,LOST
2025-09-19 17:15:01,Newcastle,2m Hcap,2025-09-19 17:08:00,42337716,Quercus Robur,2.22,LOST
2025-09-19 17:23:31,Newbury,1m2f Hcap,2025-09-19 17:15:00,86601995,Vincent Rocks,5.4,LOST
2025-09-19 17:28:00,Ayr,1m5f Hcap,2025-09-19 17:20:00,41192891,Perseus Way,6.8,LOST
2025-09-19 17:32:01,Dundalk,6f Mdn,2025-09-19 17:25:00,86034524,Coincidental Glory,4.6,LOST
2025-09-19 17:44:01,Downpatrick,2m2f NHF,2025-09-19 17:35:00,88708052,Minella Jury,3.2,LOST
2025-09-19 17:49:00,Newcastle,6f Mdn Stks,2025-09-19 17:44:00,88707550,Storm Esme,4.5,WON
2025-09-19 18:06:31,Dundalk,7f Hcap,2025-09-19 18:00:00,337323,Imperial Dream,5.7,LOST
2025-09-19 18:22:31,Newcastle,7f Mdn Stks,2025-09-19 18:15:00,10460454,Great Dream,2.36,WON
2025-09-19 18:38:31,Dundalk,1m Hcap,2025-09-19 18:30:00,55414790,Sierra De Gredos,6.8,WON
2025-09-19 18:50:30,Newcastle,1m Hcap,2025-09-19 18:45:00,58147424,Sassy Glory,3.6,LOST
2025-09-19 19:08:01,Dundalk,1m4f Hcap,2025-09-19 19:00:00,83391424,Frank Pickle,3.3,LOST
2025-09-19 19:23:01,Newcastle,6f Hcap,2025-09-19 19:15:00,73963536,Invitorio,4.8,LOST
2025-09-19 19:39:01,Dundalk,1m2f Hcap,2025-09-19 19:30:00,74050074,Faro Island,3.0,LOST
2025-09-19 19:51:31,Newcastle,7f Hcap,2025-09-19 19:45:00,60157864,Mister Mojito,2.6,LOST
2025-09-19 20:08:31,Dundalk,1m2f Hcap,2025-09-19 20:00:00,58079335,Limestone Red,6.6,LOST
2025-09-19 20:20:31,Newcastle,5f Hcap,2025-09-19 20:15:00,54914775,Dandy Fitz,5.0,LOST
2025-09-19 20:39:31,Dundalk,1m2f Mdn,2025-09-19 20:30:00,88708067,Edward Hamilton,2.02,WON
